                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.63145,                0.37926,                0.89653,                0.97492,                0.96606,                0.98293,                0.83362,                0.54838,                0.30061,                0.85231,               0.005149,               0.005149,               0.005149
                     52,                0.63396,                0.37987,                0.89917,                0.97444,                0.96656,                0.98379,                0.83856,                0.53289,                0.29504,                0.85028,                0.00505,                0.00505,                0.00505
                     53,                0.63029,                0.37719,                0.89799,                0.97577,                0.96605,                0.98429,                0.84114,                 0.5295,                0.29098,                0.84939,               0.004951,               0.004951,               0.004951
                     54,                0.62923,                0.37649,                0.89704,                0.97432,                0.96741,                0.98418,                0.83965,                0.53261,                0.29312,                0.85057,               0.004852,               0.004852,               0.004852
                     55,                 0.6314,                0.37678,                0.89874,                0.97554,                 0.9668,                0.98429,                0.84106,                0.52953,                 0.2901,                0.84976,               0.004753,               0.004753,               0.004753
                     56,                0.62782,                0.37544,                0.89778,                0.97513,                0.96648,                0.98418,                0.83896,                0.53348,                 0.2923,                 0.8511,               0.004654,               0.004654,               0.004654
                     57,                0.62527,                 0.3739,                 0.8956,                0.97462,                0.96754,                0.98353,                0.83644,                0.54205,                0.29573,                 0.8512,               0.004555,               0.004555,               0.004555
                     58,                0.62828,                0.37505,                 0.8976,                 0.9764,                0.96724,                0.98473,                0.84257,                0.52702,                0.28836,                0.84882,               0.004456,               0.004456,               0.004456
                     59,                0.62225,                0.37167,                0.89598,                0.97663,                0.96804,                0.98448,                 0.8421,                0.52818,                0.28874,                0.84921,               0.004357,               0.004357,               0.004357
                     60,                0.62234,                0.37056,                0.89551,                0.97662,                0.96816,                0.98468,                 0.8409,                0.53238,                0.28833,                0.85008,               0.004258,               0.004258,               0.004258
                     61,                0.62233,                0.36939,                 0.8963,                0.97618,                0.96841,                0.98463,                0.84227,                0.52686,                0.28757,                0.84932,               0.004159,               0.004159,               0.004159
                     62,                0.62388,                0.37063,                0.89695,                0.97773,                 0.9664,                 0.9845,                0.84228,                0.52834,                 0.2876,                0.84996,                0.00406,                0.00406,                0.00406
                     63,                0.62129,                0.36752,                0.89523,                0.97667,                0.96844,                0.98455,                0.84298,                0.52695,                0.28607,                0.84949,               0.003961,               0.003961,               0.003961
                     64,                0.62111,                0.36915,                0.89503,                0.97671,                0.96865,                0.98507,                0.84403,                0.52379,                 0.2843,                0.84809,               0.003862,               0.003862,               0.003862
                     65,                0.61822,                 0.3676,                0.89617,                0.97689,                0.96798,                0.98498,                0.84309,                 0.5251,                 0.2852,                0.84832,               0.003763,               0.003763,               0.003763
                     66,                0.61581,                0.36479,                0.89273,                0.97783,                0.96713,                0.98501,                0.84394,                0.52385,                0.28421,                0.84837,               0.003664,               0.003664,               0.003664
                     67,                0.61604,                0.36468,                0.89348,                0.97827,                 0.9682,                0.98539,                0.84484,                 0.5227,                0.28313,                0.84792,               0.003565,               0.003565,               0.003565
                     68,                0.61483,                0.36322,                0.89445,                 0.9778,                0.96844,                0.98527,                0.84495,                0.52236,                0.28308,                0.84769,               0.003466,               0.003466,               0.003466
                     69,                0.61258,                0.36224,                0.89338,                 0.9785,                0.96796,                0.98525,                0.84437,                0.52423,                0.28293,                 0.8483,               0.003367,               0.003367,               0.003367
                     70,                0.61455,                0.36362,                0.89306,                0.97819,                0.96746,                0.98526,                0.84389,                0.52438,                0.28341,                0.84825,               0.003268,               0.003268,               0.003268
                     71,                0.61128,                 0.3598,                0.89207,                0.97808,                0.96782,                0.98494,                0.84448,                0.52212,                0.28276,                0.84726,               0.003169,               0.003169,               0.003169
                     72,                0.61121,                0.35976,                0.89206,                  0.977,                0.96898,                 0.9853,                0.84495,                0.52195,                0.28185,                0.84716,                0.00307,                0.00307,                0.00307
                     73,                0.60836,                0.35761,                0.89082,                0.97768,                0.96905,                0.98537,                 0.8455,                0.52145,                0.28144,                0.84698,               0.002971,               0.002971,               0.002971
                     74,                0.60732,                0.35717,                0.89166,                0.97867,                0.96776,                0.98518,                0.84483,                0.52261,                0.28226,                0.84731,               0.002872,               0.002872,               0.002872
                     75,                0.60922,                0.35736,                0.89255,                0.97756,                 0.9687,                0.98539,                0.84463,                0.52375,                0.28172,                0.84769,               0.002773,               0.002773,               0.002773
                     76,                0.60671,                0.35581,                0.89209,                0.97773,                0.96894,                0.98539,                0.84483,                0.52308,                0.28165,                0.84756,               0.002674,               0.002674,               0.002674
                     77,                0.60436,                0.35518,                0.89133,                0.97819,                0.96803,                 0.9853,                0.84513,                0.52289,                0.28098,                0.84742,               0.002575,               0.002575,               0.002575
                     78,                 0.6039,                0.35406,                0.88922,                0.97672,                0.97015,                0.98533,                 0.8452,                0.52262,                0.28086,                0.84735,               0.002476,               0.002476,               0.002476
                     79,                0.60523,                0.35353,                0.89088,                0.97723,                0.96962,                0.98529,                0.84502,                0.52293,                0.28084,                0.84733,               0.002377,               0.002377,               0.002377
                     80,                0.60118,                0.35156,                0.89021,                0.97697,                0.96981,                0.98524,                0.84534,                0.52206,                0.28058,                0.84703,               0.002278,               0.002278,               0.002278
                     81,                0.60079,                0.35121,                0.88971,                0.97671,                0.97011,                0.98536,                0.84521,                0.52257,                0.28064,                0.84717,               0.002179,               0.002179,               0.002179
                     82,                0.59958,                0.35062,                0.88967,                0.97691,                0.96982,                0.98526,                0.84535,                 0.5222,                 0.2804,                0.84702,                0.00208,                0.00208,                0.00208
                     83,                0.59967,                0.34911,                0.88983,                0.97782,                0.96901,                0.98529,                0.84571,                0.52206,                0.28009,                 0.8469,               0.001981,               0.001981,               0.001981
                     84,                0.59835,                0.34782,                0.88777,                0.97812,                0.96857,                0.98534,                0.84583,                0.52168,                0.27987,                0.84668,               0.001882,               0.001882,               0.001882
